label,text_raw,text_lower,text_contacts_masked,text_numbers,text_stripped,text_whitespace,text_stopwords_removed
ham,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,go until jurong point crazy available only bugis n great world la e buffet cine there got amore wat
ham,ok lar joking wif u oni,ok lar joking wif u oni,ok lar joking wif u oni,ok lar joking wif u oni,ok lar joking wif u oni,ok lar joking wif u oni,ok lar joking wif u oni
spam,free entry in <NUM> a wkly comp to win fa cup final tkts <NUM>st may <NUM> text fa to <NUM> to receive entry question std txt rate t c s apply <NUM>over<NUM> s,free entry in <num> a wkly comp to win fa cup final tkts <num>st may <num> text fa to <num> to receive entry question std txt rate t c s apply <num>over<num> s,free entry in <num> a wkly comp to win fa cup final tkts <num>st may <num> text fa to <num> to receive entry question std txt rate t c s apply <num>over<num> s,free entry in <num> a wkly comp to win fa cup final tkts <num>st may <num> text fa to <num> to receive entry question std txt rate t c s apply <num>over<num> s,free entry in num a wkly comp to win fa cup final tkts numst may num text fa to num to receive entry question std txt rate t c s apply numovernum s,free entry in num a wkly comp to win fa cup final tkts numst may num text fa to num to receive entry question std txt rate t c s apply numovernum s,free entry num wkly comp win fa cup final tkts numst may num text fa num receive entry question std txt rate t c s apply numovernum s
ham,u dun say so early hor u c already then say,u dun say so early hor u c already then say,u dun say so early hor u c already then say,u dun say so early hor u c already then say,u dun say so early hor u c already then say,u dun say so early hor u c already then say,u dun say so early hor u c already then say
ham,nah i don t think he goes to usf he lives around here though,nah i don t think he goes to usf he lives around here though,nah i don t think he goes to usf he lives around here though,nah i don t think he goes to usf he lives around here though,nah i don t think he goes to usf he lives around here though,nah i don t think he goes to usf he lives around here though,nah don t think goes usf lives around here though
spam,freemsg hey there darling it s been <NUM> week s now and no word back i d like some fun you up for it still tb ok xxx std chgs to send <NUM> <NUM> to rcv,freemsg hey there darling it s been <num> week s now and no word back i d like some fun you up for it still tb ok xxx std chgs to send <num> <num> to rcv,freemsg hey there darling it s been <num> week s now and no word back i d like some fun you up for it still tb ok xxx std chgs to send <num> <num> to rcv,freemsg hey there darling it s been <num> week s now and no word back i d like some fun you up for it still tb ok xxx std chgs to send <num> <num> to rcv,freemsg hey there darling it s been num week s now and no word back i d like some fun you up for it still tb ok xxx std chgs to send num num to rcv,freemsg hey there darling it s been num week s now and no word back i d like some fun you up for it still tb ok xxx std chgs to send num num to rcv,freemsg hey there darling s been num week s now no word back d like some fun up still tb ok xxx std chgs send num num rcv
ham,even my brother is not like to speak with me they treat me like aids patent,even my brother is not like to speak with me they treat me like aids patent,even my brother is not like to speak with me they treat me like aids patent,even my brother is not like to speak with me they treat me like aids patent,even my brother is not like to speak with me they treat me like aids patent,even my brother is not like to speak with me they treat me like aids patent,even my brother not like speak with me treat me like aids patent
ham,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press <NUM> to copy your friends callertune,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press <num> to copy your friends callertune,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press <num> to copy your friends callertune,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press <num> to copy your friends callertune,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press num to copy your friends callertune,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press num to copy your friends callertune,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune all callers press num copy your friends callertune
spam,winner as a valued network customer you have been selected to receivea <NUM> prize reward to claim call <PHONE> claim code kl<NUM> valid <NUM> hours only,winner as a valued network customer you have been selected to receivea <num> prize reward to claim call <phone> claim code kl<num> valid <num> hours only,winner as a valued network customer you have been selected to receivea <num> prize reward to claim call <phone> claim code kl<num> valid <num> hours only,winner as a valued network customer you have been selected to receivea <num> prize reward to claim call <phone> claim code kl<num> valid <num> hours only,winner as a valued network customer you have been selected to receivea num prize reward to claim call phone claim code klnum valid num hours only,winner as a valued network customer you have been selected to receivea num prize reward to claim call phone claim code klnum valid num hours only,winner as valued network customer have been selected receivea num prize reward claim call phone claim code klnum valid num hours only
spam,had your mobile <NUM> months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on <PHONE>,had your mobile <num> months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on <phone>,had your mobile <num> months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on <phone>,had your mobile <num> months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on <phone>,had your mobile num months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on phone,had your mobile num months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on phone,had your mobile num months more u r entitled update latest colour mobiles with camera free call mobile update co free phone
